names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
MGP,26.118792,,2.2304730023089765e-150,7.556842531822813e-147,1.0,1.0
C11orf96,25.116976,,3.245250171751743e-139,5.497453790947453e-136,1.0,1.0
CALD1,24.547682,,4.5787508020517156e-133,5.1709359057837376e-130,1.0,1.0
SPARC,22.910221,,3.6746821277631054e-116,3.0131463380897013e-113,1.0,1.0
TAGLN,22.90191,,4.4467921164251794e-116,3.0131463380897013e-113,1.0,1.0
COL4A2,22.80954,,3.6871063384967e-115,2.0819860458044697e-112,1.0,1.0
COL1A2,22.4272,,2.136616691731249e-111,1.0341224787979244e-108,1.0,1.0
CRISPLD2,22.378904,,6.317837078320961e-111,2.675604002668927e-108,1.0,1.0
COL4A1,22.33922,,1.5370497169124667e-110,5.786138267666041e-108,1.0,1.0
CCL2,22.18197,,5.128361547780652e-109,1.7374888923880849e-106,1.0,1.0
COL3A1,21.395409,,1.4743503318564627e-101,4.5409990221179045e-99,1.0,1.0
FN1,20.450708,,5.9209931029690246e-93,1.6716937194049213e-90,1.0,1.0
PDLIM3,20.380312,,2.5006073025445547e-92,6.516967339246886e-90,1.0,1.0
THBS1,20.26029,,2.882558913359761e-91,6.975792570330622e-89,1.0,1.0
TIMP1,20.179575,,1.480115389072923e-90,3.343087292119375e-88,1.0,1.0
C7,19.941605,,1.772837503288108e-88,3.753983413212569e-86,1.0,1.0
COL1A1,19.91601,,2.9563210967424837e-88,5.8917740445667854e-86,1.0,1.0
BGN,19.836092,,1.453253482497576e-87,2.735345999278771e-85,1.0,1.0
TIMP3,19.322538,,3.471579231367071e-83,6.190373913616651e-81,1.0,1.0
CCN1,19.07736,,3.8943892628507343e-81,6.597095411269144e-79,1.0,1.0
LUM,18.750624,,1.9133106381258738e-78,3.086807829509743e-76,1.0,1.0
TPM1,18.287169,,1.0471433905616325e-74,1.6126008214649139e-72,1.0,1.0
MYL9,18.217024,,3.781713514663622e-74,5.57062842942624e-72,1.0,1.0
TFPI,18.071833,,5.31198060902161e-73,7.498745959735506e-71,1.0,1.0
C1R,18.050293,,7.847326181288967e-73,1.0634696440882809e-70,1.0,1.0
PDE3A,18.038256,,9.757707282639135e-73,1.2715043182146688e-70,1.0,1.0
IGFBP5,17.992329,,2.23757681711684e-72,2.8077445394043903e-70,1.0,1.0
SULF1,17.932552,,6.569344588395629e-72,7.94890695195871e-70,1.0,1.0
AKAP12,17.901136,,1.155412195386574e-71,1.3498401786102456e-69,1.0,1.0
GEM,17.737946,,2.1360034391266572e-70,2.4122598839203713e-68,1.0,1.0
ITGA1,17.539858,,7.110456828115782e-69,7.771041204405249e-67,1.0,1.0
ACTA2,17.47215,,2.335200010963494e-68,2.4723930116075997e-66,1.0,1.0
COL14A1,17.39486,,9.024860609674433e-68,9.265523559265752e-66,1.0,1.0
TPM2,17.163422,,4.98853652924565e-66,4.9709299297306655e-64,1.0,1.0
NNMT,17.149427,,6.347539864376074e-66,6.14441858871604e-64,1.0,1.0
TNFRSF12A,16.930891,,2.663165887492766e-64,2.506335007451525e-62,1.0,1.0
CCDC102B,16.848177,,1.0819987812069858e-63,9.907599650619642e-62,1.0,1.0
GPC6,16.779154,,3.4673772820946156e-63,3.0914405872990943e-61,1.0,1.0
DLC1,16.76078,,4.723833943807187e-63,4.1036793337483976e-61,1.0,1.0
DCN,16.497877,,3.8002411605445075e-61,3.218804262981198e-59,1.0,1.0
CACNA1C,16.449154,,8.504672367004497e-61,7.027763409612497e-59,1.0,1.0
CCN2,16.442152,,9.546884495717026e-61,7.701153493211734e-59,1.0,1.0
CYTOR,16.16632,,8.714962629191827e-59,6.866579857605095e-57,1.0,1.0
FHL2,15.937855,,3.460318750636252e-57,2.664445437989914e-55,1.0,1.0
THBS2,15.715959,,1.1758907178471198e-55,8.85315056014676e-54,1.0,1.0
MIR4435-2HG,15.711826,,1.2551114085357713e-55,9.24416837417216e-54,1.0,1.0
RARRES2,15.490168,,4.042335626848013e-54,2.91392193697044e-52,1.0,1.0
FRZB,15.202167,,3.4211749515618296e-52,2.414779319977391e-50,1.0,1.0
COL12A1,15.166841,,5.863180809652708e-52,4.053970731245587e-50,1.0,1.0
INHBA,15.027402,,4.856809622264242e-51,3.2909742000462505e-49,1.0,1.0
