names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
IL32,37.585323,,3.733659210333943e-309,1.26496374046114e-305,1.0,1.0
TRAC,35.712463,,2.5324639130403157e-279,4.289993868690295e-276,1.0,1.0
PTPRC,34.376785,,5.605650238688456e-259,6.33064766955883e-256,1.0,1.0
SKAP1,34.10551,,6.111237273147802e-255,5.176217970356189e-252,1.0,1.0
TRBC2,33.82956,,7.252404122102198e-251,4.91422903313645e-248,1.0,1.0
BATF,33.137054,,8.70166462910791e-241,4.913539960569599e-238,1.0,1.0
RHOH,33.06077,,1.0893426697699112e-239,5.27241852168637e-237,1.0,1.0
AL136456.1,32.88137,,4.058298735684945e-237,1.7186895145625742e-234,1.0,1.0
ICOS,32.555176,,1.7689351535622072e-232,6.65905811140973e-230,1.0,1.0
IKZF2,31.846249,,1.483498994871809e-222,5.026094594625689e-220,1.0,1.0
CTLA4,31.761974,,2.1699828664049353e-221,6.6835472285272e-219,1.0,1.0
DUSP16,31.733309,,5.396226194825082e-221,1.5235345290056148e-218,1.0,1.0
TBC1D4,31.7237,,7.322086971040129e-221,1.90824851214492e-218,1.0,1.0
LTB,31.146284,,5.695089964661231e-213,1.3782117714480179e-210,1.0,1.0
VAV3,31.009016,,4.074726341416596e-211,9.203448563146285e-209,1.0,1.0
SAMSN1,30.937407,,3.752863702269855e-210,7.946688889556418e-208,1.0,1.0
LINC02694,30.443752,,1.4492181807109904e-203,2.8882065860287265e-201,1.0,1.0
CD2,30.185146,,3.710906546989062e-200,6.984750767332745e-198,1.0,1.0
RGS1,29.825935,,1.8014104668251962e-195,3.212199295580929e-193,1.0,1.0
STK17B,29.81187,,2.7414466210085448e-195,4.644010575988475e-193,1.0,1.0
TIGIT,29.809134,,2.9746533171622793e-195,4.799107351688477e-193,1.0,1.0
IL2RG,29.576763,,2.9741726483466952e-192,4.58022587845391e-190,1.0,1.0
GBP5,29.527502,,1.277397086020937e-191,1.88166144671258e-189,1.0,1.0
STAM,29.445177,,1.4512810796535515e-190,2.04872512411093e-188,1.0,1.0
TNFAIP3,29.342094,,3.014334916758924e-189,4.0850266791916934e-187,1.0,1.0
IL7R,28.974396,,1.3832642541984788e-184,1.8024997281632486e-182,1.0,1.0
CST3,-28.919058,,6.877237894837211e-184,8.629659995447581e-182,1.0,1.0
CD3E,28.78397,,3.40494468291009e-182,4.119983066321208e-180,1.0,1.0
DNAJB1,28.05946,,3.062457823023857e-173,3.577795553243044e-171,1.0,1.0
LDLRAD4,27.71939,,4.077008367525635e-169,4.6043014497256164e-167,1.0,1.0
CTSC,27.71433,,4.6916558601034404e-169,5.127525823880793e-167,1.0,1.0
ITGA4,27.561716,,3.2030487614802873e-167,3.3912278762172544e-165,1.0,1.0
GLCCI1,27.526989,,8.34659447901088e-167,8.569170331784504e-165,1.0,1.0
CD247,27.511648,,1.2738094768907003e-166,1.2693136787369685e-164,1.0,1.0
CEBPD,-27.504261,,1.561230481932095e-166,1.5112711065102678e-164,1.0,1.0
CLEC2D,27.427904,,1.274921697486202e-165,1.1998429753009035e-163,1.0,1.0
CYTIP,27.426659,,1.3193077329842241e-165,1.2080579998244733e-163,1.0,1.0
APBB1IP,27.078386,,1.7697243671259526e-161,1.577848988374402e-159,1.0,1.0
CD3D,26.471983,,2.0378131543423155e-154,1.770284863310709e-152,1.0,1.0
SPOCK2,26.082455,,5.766196312580896e-150,4.883968276756019e-148,1.0,1.0
FYB1,25.883558,,1.0200433638904341e-147,8.429041260636074e-146,1.0,1.0
LINC01619,25.558321,,4.437570323519553e-144,3.5796400609724394e-142,1.0,1.0
TOX,25.329786,,1.5010223111361324e-141,1.182665951192841e-139,1.0,1.0
TSC22D3,24.670933,,2.1943211798441163e-134,1.6896273084799694e-132,1.0,1.0
STAT4,24.23062,,1.0585416569018062e-129,7.969642519074044e-128,1.0,1.0
CDC42SE2,24.07634,,4.424272477984277e-128,3.258572859871898e-126,1.0,1.0
BIRC3,24.006567,,2.374655087032988e-127,1.7117726457165453e-125,1.0,1.0
PRKG1,-23.542278,,1.5061432408756556e-122,1.0630861041847336e-120,1.0,1.0
RBP1,-23.452707,,1.2404390714686166e-121,8.576750151297292e-120,1.0,1.0
BCL2,23.419138,,2.7281401361295614e-121,1.8485877562413908e-119,1.0,1.0
