names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
TM4SF1,31.843704,,1.608815160257119e-222,5.4506657629511195e-219,1.0,1.0
PLPP3,30.46555,,7.455986556525195e-204,1.2630441226753681e-200,1.0,1.0
RAMP2,29.365425,,1.5185327802352927e-189,1.7149296864790572e-186,1.0,1.0
IFI27,29.219574,,1.093999975627039e-187,9.26617979356102e-185,1.0,1.0
ZNF385D,28.97287,,1.4458586146857124e-184,9.797137973110387e-182,1.0,1.0
TCF4,28.940208,,3.727115596856454e-184,2.1045779403582777e-181,1.0,1.0
PECAM1,28.90832,,9.384683106836395e-184,4.542186623708815e-181,1.0,1.0
FLT1,28.839977,,6.767925832195107e-183,2.866216589934628e-180,1.0,1.0
TGFBR2,28.795963,,2.409654417913694e-182,9.071010186546217e-180,1.0,1.0
PLCB1,28.74708,,9.851771214735684e-182,3.3377800875524495e-179,1.0,1.0
CALCRL,28.687521,,5.460455077519486e-181,1.6818201638760016e-178,1.0,1.0
MCTP1,28.536226,,4.1639103387528486e-179,1.1756106856412208e-176,1.0,1.0
ADGRL4,28.482851,,1.9106251723634657e-178,4.979383141513402e-176,1.0,1.0
PTPRM,28.42282,,1.0565785403879774e-177,2.556920067738905e-175,1.0,1.0
EMCN,28.145151,,2.7472222736201776e-174,6.205059375350107e-172,1.0,1.0
PITPNC1,28.105892,,8.299558120585677e-174,1.7574314320340172e-171,1.0,1.0
ADAMTS9,28.031134,,6.78428098816162e-173,1.3520672934053864e-170,1.0,1.0
RAI14,27.877235,,5.038180224118677e-171,9.482974777396709e-169,1.0,1.0
PLEKHG1,27.719845,,4.025977050796105e-169,7.178952762156424e-167,1.0,1.0
PALM2-AKAP2,27.668154,,1.6880087309713765e-168,2.859486790265512e-166,1.0,1.0
PTPRB,27.39339,,3.2876970902574264e-165,5.3041513056153146e-163,1.0,1.0
SPARCL1,27.224537,,3.328142030722998e-163,5.125338727313417e-161,1.0,1.0
EMP1,27.215965,,4.204097468801352e-163,6.192818358390862e-161,1.0,1.0
CAV1,26.775127,,6.296795253117712e-158,8.88897596565117e-156,1.0,1.0
MAGI1,26.695219,,5.34859169113656e-157,7.248411459828266e-155,1.0,1.0
VWF,26.593899,,7.985952746135241e-156,1.0406310732271614e-153,1.0,1.0
ERG,26.376371,,2.5583403704139285e-153,3.210243398134219e-151,1.0,1.0
LDB2,25.606615,,1.2875163654750164e-144,1.5578948022247698e-142,1.0,1.0
HSPG2,25.489614,,2.5698086598437596e-143,3.002245427431261e-141,1.0,1.0
RAMP3,25.435907,,1.0109807453391414e-142,1.1417342550696702e-140,1.0,1.0
DOCK4,25.388897,,3.344823160784149e-142,3.655568022173128e-140,1.0,1.0
RALGAPA2,25.186724,,5.599641295275134e-140,5.928620221372548e-138,1.0,1.0
SLCO2A1,24.916285,,4.95609971512046e-137,5.0882623741903397e-135,1.0,1.0
WWTR1,24.842583,,3.110136240370102e-136,3.0991592889335016e-134,1.0,1.0
HYAL2,24.68755,,1.455174879155778e-134,1.4086092830227931e-132,1.0,1.0
ZEB1,24.416815,,1.1337192863700997e-131,1.0669558172838604e-129,1.0,1.0
A2M,24.27962,,3.218790341738012e-130,2.947368021029293e-128,1.0,1.0
COL4A1,23.998419,,2.8885357340311363e-127,2.57535764918355e-125,1.0,1.0
IGFBP4,23.954693,,8.256193344193886e-127,7.172303346186893e-125,1.0,1.0
PREX2,23.565481,,8.711720860112719e-123,7.378827568515473e-121,1.0,1.0
THSD7A,23.420465,,2.644506447610454e-121,2.1852653279278583e-119,1.0,1.0
CLEC14A,23.342394,,1.6464575943388117e-120,1.3281424594333081e-118,1.0,1.0
MECOM,23.216452,,3.1059847080534976e-119,2.4472270211361045e-117,1.0,1.0
PALMD,23.176085,,7.93592256450481e-119,6.1106603746687026e-117,1.0,1.0
TGM2,22.860046,,1.161070702883081e-115,8.741572314150842e-114,1.0,1.0
SLC9A3R2,22.8392,,1.8712480418887471e-115,1.378214862156321e-113,1.0,1.0
DOCK9,22.820782,,2.8515169347614304e-115,2.055519015951431e-113,1.0,1.0
NFIB,22.77586,,7.956374167247611e-115,5.615874099715606e-113,1.0,1.0
MAST4,22.742945,,1.6853141862338995e-114,1.1652743801960106e-112,1.0,1.0
WARS,22.703398,,4.1467239759935956e-114,2.8098201661332602e-112,1.0,1.0
