names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
S100A8,30.68653,,8.610025286099817e-207,2.9170765669306183e-203,1.0,1.0
G0S2,29.769318,,9.752746012180157e-195,1.6521151744633187e-191,1.0,1.0
S100A9,29.737873,,2.4884055777489763e-194,2.810239365804511e-191,1.0,1.0
NAMPT,28.146841,,2.619479546398081e-174,2.2186991757991744e-171,1.0,1.0
BCL2A1,28.052832,,3.689046965037241e-173,2.4996982235092344e-170,1.0,1.0
CXCL8,27.33761,,1.5160064244070573e-164,8.56038294315185e-162,1.0,1.0
IFITM2,27.10253,,9.193253001085304e-162,4.449534452525287e-159,1.0,1.0
PLAUR,27.04682,,4.163125991604263e-161,1.7630838574444056e-158,1.0,1.0
SOD2,25.729061,,5.530135413737653e-146,2.0817887535270183e-143,1.0,1.0
CSF3R,25.060047,,1.3567584721233728e-138,4.596697703553987e-136,1.0,1.0
CD55,24.115082,,1.7366530299486387e-128,5.348891332241807e-126,1.0,1.0
SAT1,23.826895,,1.7582488690191638e-125,4.964122640197439e-123,1.0,1.0
MNDA,23.408611,,3.4922098667205793e-121,9.101236175730248e-119,1.0,1.0
SLC25A37,23.116714,,3.14435284391759e-118,7.609333882280568e-116,1.0,1.0
BASP1,22.672459,,8.378333487865985e-114,1.892386257125997e-111,1.0,1.0
NEAT1,21.798445,,2.4003438487676472e-105,5.082728099765494e-103,1.0,1.0
AQP9,21.78005,,3.5868366686353516e-105,7.148354490197983e-103,1.0,1.0
RNF149,21.736889,,9.192091927038409e-105,1.7301559693781181e-102,1.0,1.0
S100A4,21.593794,,2.054367376242077e-103,3.6632614056358725e-101,1.0,1.0
ACSL1,21.582205,,2.6397651112676297e-103,4.471762098487365e-101,1.0,1.0
S100A6,21.245869,,3.599888321221939e-100,5.807819824904728e-98,1.0,1.0
LUCAT1,20.841507,,1.8201448621108285e-96,2.8030230876506756e-94,1.0,1.0
FOXO3,20.804586,,3.933451249687858e-96,5.794144710409767e-94,1.0,1.0
PLEK,20.701801,,3.336611184031159e-95,4.710182788123986e-93,1.0,1.0
FPR1,20.63221,,1.410570106696916e-94,1.9116046085956606e-92,1.0,1.0
ALOX5AP,19.927034,,2.3720888949837523e-88,3.0910142985403667e-86,1.0,1.0
PTPRE,19.667496,,4.0951652144949914e-86,5.138673980262604e-84,1.0,1.0
GCA,19.192244,,4.296817905609231e-82,5.1991496657871695e-80,1.0,1.0
TYROBP,19.124363,,1.582962970674008e-81,1.8493374291874272e-79,1.0,1.0
SAMSN1,18.869516,,2.0315244222348167e-79,2.2942682475105195e-77,1.0,1.0
LYN,18.784058,,1.0198006205755901e-78,1.1145433879064838e-76,1.0,1.0
FCER1G,18.608238,,2.7553162232154484e-77,2.917191051329356e-75,1.0,1.0
IVNS1ABP,18.513721,,1.600521038376074e-76,1.643201599399436e-74,1.0,1.0
RGS2,18.198938,,5.2616932001951895e-74,5.243122518312147e-72,1.0,1.0
S100A12,17.62347,,1.627077548899412e-69,1.5750110673346308e-67,1.0,1.0
ATP2B1,17.417393,,6.0889291895197554e-68,5.730358915025813e-66,1.0,1.0
OSM,17.316313,,3.543423184032981e-67,3.244626418244254e-65,1.0,1.0
TREM1,17.311666,,3.8413844627646654e-67,3.424897515749128e-65,1.0,1.0
FCGR3B,17.293842,,5.234401305909411e-67,4.547218365236176e-65,1.0,1.0
DOCK4,17.11547,,1.1379036724700266e-65,9.638044105821125e-64,1.0,1.0
CMTM2,17.057644,,3.066764700980409e-65,2.478157532988661e-63,1.0,1.0
PROK2,17.057543,,3.0720961152751997e-65,2.478157532988661e-63,1.0,1.0
C5AR1,16.992537,,9.326658218797746e-65,7.348539080299247e-63,1.0,1.0
DENND5A,16.960852,,1.6001021450574814e-64,1.2320786516942607e-62,1.0,1.0
MXD1,16.469397,,6.087489953369633e-61,4.583203547114737e-59,1.0,1.0
NEDD9,16.098234,,2.624887685915172e-58,1.9332868434523052e-56,1.0,1.0
LIMK2,15.622161,,5.1432636769019694e-55,3.7075270930518876e-53,1.0,1.0
SLA,15.555383,,1.462785457298197e-54,1.0324827352763107e-52,1.0,1.0
ITGAX,15.537597,,1.9309116214092915e-54,1.335087463945853e-52,1.0,1.0
PTGS2,15.366211,,2.7583651984097457e-53,1.8690682584424436e-51,1.0,1.0
