cluster,names,scores,logfoldchanges,pvals,pvals_adj
2,RASGRF2,38.673187,,0.0,0.0
2,COL4A2,38.718483,,0.0,0.0
2,ABLIM1,38.71876,,0.0,0.0
2,SMAD1,38.770092,,0.0,0.0
2,NNMT,38.911324,,0.0,0.0
2,FAM110D,38.97319,,0.0,0.0
2,TMTC1,38.97439,,0.0,0.0
3,STMN1,69.977165,,0.0,0.0
3,SOD2,-38.346256,,0.0,0.0
3,TCF4,-38.56013,,0.0,0.0
3,DOCK4,-38.950665,,0.0,0.0
3,CREM,-39.487427,,0.0,0.0
3,HLA-DRB1,-39.768852,,0.0,0.0
3,SPARCL1,-40.091053,,0.0,0.0
3,SOCS3,-41.184044,,0.0,0.0
3,NFKB1,-38.173637,,0.0,0.0
3,JUN,-41.59835,,0.0,0.0
3,ATF3,-41.788292,,0.0,0.0
3,GADD45B,-43.91277,,0.0,0.0
3,DUSP1,-45.6979,,0.0,0.0
3,NAMPT,-46.694542,,0.0,0.0
3,NFKBIA,-47.645325,,0.0,0.0
3,SAT1,-47.839867,,0.0,0.0
3,SIK3,-47.908512,,0.0,0.0
3,IFITM2,-41.65421,,0.0,0.0
3,ZFP36,-53.021095,,0.0,0.0
3,NEAT1,-60.204197,,0.0,0.0
3,CISD1,65.62787,,0.0,0.0
3,LSAMP,37.918602,,0.0,0.0
3,TRDC,39.94466,,0.0,0.0
3,CTNNBL1,40.046345,,0.0,0.0
3,LRRIQ3,40.977654,,0.0,0.0
3,DKK4,46.876728,,0.0,0.0
3,RBP1,61.54046,,0.0,0.0
3,DKK3,49.92493,,0.0,0.0
3,SMPX,50.41912,,0.0,0.0
3,MUCL1,53.475254,,0.0,0.0
3,AC104126.1,56.473316,,0.0,0.0
3,CCN3,59.013996,,0.0,0.0
3,PEBP1,47.400272,,0.0,0.0
3,REL,-37.0054,,9.37486292512593e-300,9.341775173625485e-298
3,PLCB1,-36.943775,,9.168582684388563e-299,8.875188038488129e-297
3,CTSL,-36.90769,,3.478706303816528e-298,3.273849154813999e-296
3,NRIP1,-36.757458,,8.836795186368716e-296,8.091638403085732e-294
3,PITPNC1,-36.18499,,1.0485484469275532e-286,9.348637205764607e-285
3,ATP2B1,-36.179592,,1.2747989981940636e-286,1.107440770738843e-284
3,CD55,-35.863117,,1.1486401617344472e-281,9.728982169890767e-280
3,C11orf96,-35.57544,,3.3596917658957815e-277,2.7762526104524166e-275
3,RNASE1,35.5416,,1.1202279841229167e-276,9.036505738591528e-275
3,FABP5,-35.369606,,5.009773850658426e-274,3.94723576884436e-272
3,A2M,-35.287037,,9.28289591315808e-273,7.147829853131722e-271
3,CALD1,-35.032864,,7.111272774400458e-269,5.3539982577041675e-267
3,PALM2-AKAP2,-34.52824,,3.02420033762478e-261,2.227389292146251e-259
3,HLA-DPA1,-34.499447,,8.17586191451761e-261,5.89357875880546e-259
3,ANXA1,-34.34222,,1.8401701639721634e-258,1.2988534407370186e-256
3,HLA-DPB1,-34.302807,,7.126335309767361e-258,4.927351842753432e-256
3,TGFBR2,-34.259098,,3.192696805668782e-257,2.1633713555211665e-255
4,IFI30,77.47509,,0.0,0.0
4,ANXA1,43.52078,,0.0,0.0
4,LILRA5,43.54441,,0.0,0.0
4,PTPRE,43.776257,,0.0,0.0
4,EREG,43.982838,,0.0,0.0
4,CTSL,44.022636,,0.0,0.0
4,RASGEF1B,44.23365,,0.0,0.0
4,GK,44.298992,,0.0,0.0
4,ADGRE2,44.38577,,0.0,0.0
4,HLA-DRB1,44.81935,,0.0,0.0
4,TOM1,44.869495,,0.0,0.0
4,SLC43A2,44.896397,,0.0,0.0
4,SLC25A37,43.197605,,0.0,0.0
4,LUCAT1,45.172512,,0.0,0.0
4,MBP,46.558296,,0.0,0.0
4,SERPINB9,46.71189,,0.0,0.0
4,NCF2,46.772022,,0.0,0.0
4,LCP1,47.313408,,0.0,0.0
4,PTPRC,47.38393,,0.0,0.0
4,CHST15,47.692265,,0.0,0.0
4,C9orf72,47.880196,,0.0,0.0
4,MNDA,47.988663,,0.0,0.0
4,IGSF6,48.404873,,0.0,0.0
4,CD83,48.499935,,0.0,0.0
4,MAFB,48.52768,,0.0,0.0
4,PHACTR1,45.18019,,0.0,0.0
4,DMXL2,43.02991,,0.0,0.0
4,PDE4B,42.748325,,0.0,0.0
4,INSIG1,42.228962,,0.0,0.0
4,STMN1,-43.062786,,0.0,0.0
4,PRKG1,-42.420033,,0.0,0.0
4,RBP1,-45.231094,,0.0,0.0
4,FGD4,37.89874,,0.0,0.0
4,APBB1IP,37.974644,,0.0,0.0
4,NLRP3,38.58052,,0.0,0.0
4,CORO1A,38.79644,,0.0,0.0
4,IRAK3,38.806065,,0.0,0.0
4,SMIM25,39.057384,,0.0,0.0
4,SLA,39.23952,,0.0,0.0
4,DENND5A,39.81989,,0.0,0.0
4,CD86,39.97223,,0.0,0.0
4,FAM49A,40.33895,,0.0,0.0
4,BASP1,40.369396,,0.0,0.0
4,PIK3R5,40.576855,,0.0,0.0
4,REL,40.92248,,0.0,0.0
4,STX11,41.063923,,0.0,0.0
4,PRKCB,41.219265,,0.0,0.0
4,RAPGEF1,41.381634,,0.0,0.0
4,CXCL8,41.45044,,0.0,0.0
4,S100A12,41.458206,,0.0,0.0
5,C1QC,67.693504,,0.0,0.0
5,MSR1,46.48027,,0.0,0.0
5,CCL4,46.04586,,0.0,0.0
5,RBM47,44.499172,,0.0,0.0
5,CPVL,43.661964,,0.0,0.0
5,CTSL,43.580585,,0.0,0.0
5,FCGR2A,43.3018,,0.0,0.0
5,IER3,42.48573,,0.0,0.0
5,APOC1,42.476894,,0.0,0.0
5,FPR3,42.473785,,0.0,0.0
5,IFI30,42.185127,,0.0,0.0
5,CCL3L1,42.15699,,0.0,0.0
5,CTSD,42.00928,,0.0,0.0
5,SGK1,41.030743,,0.0,0.0
5,RASGEF1B,40.749176,,0.0,0.0
5,CCL4L2,39.59701,,0.0,0.0
5,SAT1,39.531677,,0.0,0.0
5,ABCA1,38.502472,,0.0,0.0
5,MS4A4A,47.091568,,0.0,0.0
5,HMOX1,47.110653,,0.0,0.0
5,CTSS,39.89484,,0.0,0.0
5,CD68,47.511322,,0.0,0.0
5,C1QA,65.66784,,0.0,0.0
5,C1QB,64.23716,,0.0,0.0
5,HLA-DRB1,61.303505,,0.0,0.0
5,FCER1G,47.159515,,0.0,0.0
5,HLA-DPA1,60.43719,,0.0,0.0
5,APOE,57.347336,,0.0,0.0
5,HLA-DQA1,57.339466,,0.0,0.0
5,LGMN,54.10739,,0.0,0.0
5,CD83,53.558586,,0.0,0.0
5,HLA-DPB1,57.08941,,0.0,0.0
5,TYROBP,52.98065,,0.0,0.0
5,MS4A7,52.51096,,0.0,0.0
