group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,ZMYM4-AS1,0.09402639,-1.1121205,0.925088197401299,0.9503331754989695,1.0,1.0
1,AC093297.2,0.0877873,-2.1058724,0.9300457333963217,0.9542686083424403,1.0,1.0
1,AL121672.2,0.085414976,-1.3909222,0.9319314857893027,0.9556246591568274,1.0,1.0
1,NUDT13,0.084621914,-1.0421467,0.9325619776552221,0.9559818397264425,1.0,1.0
1,AC079807.1,0.082523495,,0.9342304330376089,0.9571130048779616,1.0,1.0
1,ANKRD34A,0.07995635,-0.91715765,0.9362719722172568,0.958335178813313,1.0,1.0
1,PAK3,0.07566096,1.3071035,0.9396888352886236,0.9598027657394804,1.0,1.0
1,ORC3,0.073857084,,0.9411241066772078,0.9606895069064116,1.0,1.0
1,AL445248.1,0.0720383,-0.02721366,0.9425714258723811,0.9615874708990144,1.0,1.0
1,BEND5,0.068493575,-0.40101594,0.9453927341748402,0.964141934106692,1.0,1.0
1,FAM161B,0.06752058,,0.9461672786313533,0.9643846991585514,1.0,1.0
1,MAD2L1,0.06636995,-1.5597887,0.947083295521837,0.9647378849152086,1.0,1.0
1,FAM86C1,0.06273124,-0.89379,0.9499805167660691,0.9668981341796912,1.0,1.0
1,ADAM23,0.06101217,-0.4898539,0.9513495150928053,0.9676289874315294,1.0,1.0
1,AZIN2,0.058616932,,0.9532572246356809,0.9686969037389582,1.0,1.0
1,RADX,0.058108088,-0.5799329,0.9536625336819159,0.9688181901392297,1.0,1.0
1,AC092718.1,0.052649457,-0.64927876,0.9580112098633257,0.9720700745783011,1.0,1.0
1,C3orf20,0.05074587,-1.4331765,0.959528023356862,0.9733176476446254,1.0,1.0
1,RRM2B,0.0489397,,0.9609673510099318,0.9741157897539025,1.0,1.0
1,AC015971.1,0.04624305,-0.10160824,0.9631165317765873,0.9757891177210161,1.0,1.0
1,AC079140.6,0.04546259,-0.80073345,0.9637385935693576,0.9758576377286189,1.0,1.0
1,AC068286.2,0.04507408,-0.4598601,0.964048262537688,0.9758576377286189,1.0,1.0
1,HIST2H2AB,0.043489095,-0.6139427,0.9653116580046706,0.9765945587628332,1.0,1.0
1,U47924.2,0.038202375,-0.72495174,0.9695263286417821,0.9802313343594025,1.0,1.0
1,PMS2,0.035904545,,0.9713584706055199,0.9814979118435734,1.0,1.0
1,DIO2,0.033651415,-0.43433326,0.9731551217364381,0.9821499609722267,1.0,1.0
1,AC005355.1,0.029429374,-0.4064827,0.9765221460823903,0.9846534090524092,1.0,1.0
1,RTCA-AS1,0.029072953,-1.7985451,0.9768064072683433,0.9846534090524092,1.0,1.0
1,AC024060.2,0.024470422,-0.35758165,0.980477375796981,0.9871790042199619,1.0,1.0
1,AP000487.1,0.019754434,-0.9453919,0.984239267039229,0.9892625244409207,1.0,1.0
1,AL132780.1,0.018257694,-0.26618028,0.9854332762331679,0.9895974916007575,1.0,1.0
1,HIST1H3A,0.014377176,-0.16140707,0.9885290686970579,0.991749033090208,1.0,1.0
1,BX664615.2,0.012764686,-0.35146105,0.9898155309063575,0.9924519143861318,1.0,1.0
1,NEIL2,0.009933947,0.5589937,0.9920739878370889,0.9938340244802062,1.0,1.0
