cluster,names,scores,logfoldchanges,pvals,pvals_adj
2,CDH5,43.833683,3.8639908,0.0,0.0
2,RAI14,43.87889,3.075066,0.0,0.0
2,RBPMS,44.01855,2.1474218,0.0,0.0
2,CD93,44.202957,2.702171,0.0,0.0
2,B2M,44.686035,1.4365815,0.0,0.0
2,WWTR1,44.73683,2.236866,0.0,0.0
2,NCOA7,45.11927,2.341954,0.0,0.0
2,IFITM3,45.147953,1.4976723,0.0,0.0
2,SWAP70,45.15354,2.6157458,0.0,0.0
2,ADGRF5,45.20835,2.4405181,0.0,0.0
2,TNFRSF10D,45.254555,2.9211104,0.0,0.0
2,HLA-A,45.425667,1.3787346,0.0,0.0
2,SPTBN1,45.74378,1.8368418,0.0,0.0
2,COL4A1,45.97807,2.255462,0.0,0.0
2,CPNE8,46.02142,2.7029743,0.0,0.0
2,FKBP1A,46.13479,1.6451073,0.0,0.0
2,CRIP2,46.14431,2.6330717,0.0,0.0
2,CLIC4,46.247208,2.0165076,0.0,0.0
2,DOCK9,46.25175,2.9595163,0.0,0.0
2,HSPG2,46.29102,3.583893,0.0,0.0
2,ECSCR,46.459484,3.7728853,0.0,0.0
2,MAST4,46.782402,3.0194478,0.0,0.0
2,ZEB1,46.883453,2.1632328,0.0,0.0
2,HLA-C,47.01267,1.6446507,0.0,0.0
2,PLVAP,47.069782,4.004216,0.0,0.0
2,GRB10,47.378845,2.7568133,0.0,0.0
2,RAMP3,43.48323,3.585514,0.0,0.0
2,EFNB2,47.681347,3.3593454,0.0,0.0
2,MEIS2,43.356945,2.381702,0.0,0.0
2,PDLIM5,42.91615,2.1401343,0.0,0.0
2,MACF1,37.732304,1.3972087,0.0,0.0
2,IL6ST,37.837364,1.4461884,0.0,0.0
2,ARRDC3,37.91232,2.219289,0.0,0.0
2,ELK3,38.064934,2.3884997,0.0,0.0
2,C11orf96,38.112267,1.964491,0.0,0.0
2,RASGRF2,38.379044,2.3365202,0.0,0.0
2,CD74,38.50319,2.0700102,0.0,0.0
2,ID1,38.642437,2.192418,0.0,0.0
2,VAMP5,38.7739,2.3411727,0.0,0.0
2,ANO2,39.062607,3.6662433,0.0,0.0
2,PDE10A,39.650234,2.4082415,0.0,0.0
2,IGFBP3,40.640972,3.7583563,0.0,0.0
2,LRMDA,40.69142,1.6814129,0.0,0.0
2,ADAMTS1,40.775974,2.1737714,0.0,0.0
2,ID3,40.780693,2.005281,0.0,0.0
2,TCIM,40.876106,2.9108484,0.0,0.0
3,IFI30,77.256226,5.6818767,0.0,0.0
3,SLC25A37,43.165558,2.688646,0.0,0.0
3,DMXL2,43.08965,3.3926797,0.0,0.0
3,NINJ1,43.08438,3.106976,0.0,0.0
3,METRNL,42.988667,2.8919628,0.0,0.0
3,LITAF,42.684555,1.8256693,0.0,0.0
3,PDE4B,42.571106,2.480846,0.0,0.0
3,TLR2,42.470165,3.6984093,0.0,0.0
3,MGAT1,42.408825,2.3190808,0.0,0.0
3,UBA52,42.302532,1.2534894,0.0,0.0
3,GNG5,42.301933,1.7000704,0.0,0.0
3,FXYD5,43.201576,2.3362408,0.0,0.0
3,RPL39,42.222557,1.0405524,0.0,0.0
3,MAP3K8,41.90049,2.1941316,0.0,0.0
3,RILPL2,41.88761,2.3832686,0.0,0.0
3,ANPEP,41.791206,4.482345,0.0,0.0
3,FOXO3,41.77774,2.2279644,0.0,0.0
3,ARHGAP26,41.69784,1.7435583,0.0,0.0
3,RNF149,41.655952,2.1291256,0.0,0.0
3,S100A12,41.569736,4.2837424,0.0,0.0
3,ARRB2,41.517265,2.9860404,0.0,0.0
3,EMILIN2,41.459015,2.450601,0.0,0.0
3,RAPGEF1,41.321182,2.3266115,0.0,0.0
3,INSIG1,42.069218,2.5766208,0.0,0.0
