names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
LSAMP,14.219942,,6.8910203654508725e-46,2.3346776998147558e-42,1.0,1.0
CADPS,14.025145,,1.0938938787359825e-44,1.8530562305787546e-41,1.0,1.0
RBFOX1,13.943142,,3.4635144842325305e-44,3.9114623575266045e-41,1.0,1.0
PDE4D,13.896807,,6.623062539247843e-44,5.609733970742923e-41,1.0,1.0
CACNA2D3,13.701012,,1.0011935595383126e-42,6.784087559431606e-40,1.0,1.0
NTM,13.650678,,2.0000931159973447e-42,9.736662736498499e-40,1.0,1.0
ADGRV1,13.647255,,2.096281280973507e-42,9.736662736498499e-40,1.0,1.0
MSI2,13.640522,,2.299093916528571e-42,9.736662736498499e-40,1.0,1.0
TMEM132C,13.578758,,5.352610076584947e-42,2.0149603266077553e-39,1.0,1.0
KIAA1211,13.5666065,,6.317975909470705e-42,2.140530238128675e-39,1.0,1.0
SPOCK1,13.549799,,7.944722032728629e-42,2.4469743860804173e-39,1.0,1.0
ADGRL3,13.54086,,8.973229760539477e-42,2.533441869058979e-39,1.0,1.0
NKAIN2,13.515316,,1.2700957465367505e-41,3.3100649148203927e-39,1.0,1.0
SDK1,13.426305,,4.240499173264136e-41,1.0262007999299208e-38,1.0,1.0
PLEKHA5,13.413188,,5.06154810807717e-41,1.1432349993443633e-38,1.0,1.0
ITPR2,13.349559,,1.1915282690496008e-40,2.52306110971253e-38,1.0,1.0
LAMA2,13.339103,,1.3710022789446108e-40,2.73232689474373e-38,1.0,1.0
ST6GALNAC3,13.323325,,1.6939210203034103e-40,3.188335787104419e-38,1.0,1.0
NKD1,13.299371,,2.3342459682593207e-40,4.162329126559252e-38,1.0,1.0
CNTNAP2,13.279042,,3.0628566458199335e-40,5.188479158018967e-38,1.0,1.0
CASC15,13.231743,,5.75378598071424e-40,9.282774715552307e-38,1.0,1.0
CNTNAP3B,13.206093,,8.091684297899298e-40,1.2268532475319643e-37,1.0,1.0
TENM2,13.203918,,8.328696780765991e-40,1.2268532475319643e-37,1.0,1.0
CHL1,13.145789,,1.7991794583335303e-39,2.5398416686808336e-37,1.0,1.0
ADCY2,13.077472,,4.429295372833177e-39,6.002581089263521e-37,1.0,1.0
OSBPL6,13.028589,,8.414862553583479e-39,1.096521320443878e-36,1.0,1.0
PRKG1,12.891873,,5.001424089060435e-38,6.275861042124723e-36,1.0,1.0
BCKDHB,12.847299,,8.906675937344806e-38,1.0777077884187215e-35,1.0,1.0
ACSS3,12.791173,,1.8368126543933349e-37,2.145903887270558e-35,1.0,1.0
AC005165.1,12.6736,,8.282449112156516e-37,9.353645863995424e-35,1.0,1.0
MPPED2,12.577791,,2.7974347192888946e-36,3.0573254286937985e-34,1.0,1.0
PCDH15,12.529177,,5.169651758776229e-36,5.473368799604333e-34,1.0,1.0
TMEM163,12.507859,,6.762249252944859e-36,6.942575899690055e-34,1.0,1.0
RMST,12.459999,,1.233721057676353e-35,1.2293667480610245e-33,1.0,1.0
DLEU1,12.44178,,1.5501081948224278e-35,1.50050473258811e-33,1.0,1.0
PDZRN3,12.433449,,1.7204778147473448e-35,1.61916078787889e-33,1.0,1.0
AC012405.1,12.426051,,1.8872956474584346e-35,1.7281507171862637e-33,1.0,1.0
LEF1,12.354683,,4.5956329668795003e-35,4.097369603102039e-33,1.0,1.0
TSHZ2,12.305753,,8.434654706571619e-35,7.327335934837089e-33,1.0,1.0
MAGI2,12.298719,,9.202123235006832e-35,7.794198380050787e-33,1.0,1.0
GNAL,12.292741,,9.90880013268442e-35,8.188052402325563e-33,1.0,1.0
TTLL7,12.253918,,1.6007158216492193e-34,1.2912440961303703e-32,1.0,1.0
PATJ,12.173043,,4.326467630604305e-34,3.40885403081102e-32,1.0,1.0
NRXN3,12.103232,,1.015326826656197e-33,7.818016565252716e-32,1.0,1.0
PCDH7,12.072773,,1.4709326922640028e-33,1.1074488803089871e-31,1.0,1.0
LINC00299,12.065667,,1.6035839111028764e-33,1.1810744110470751e-31,1.0,1.0
KCNMB2-AS1,12.037397,,2.259738536409918e-33,1.6289349279482559e-31,1.0,1.0
SYTL2,12.003814,,3.3929279367569995e-33,2.394841635360982e-31,1.0,1.0
CDK15,11.929331,,8.323956196127374e-33,5.755421141322356e-31,1.0,1.0
CARMIL1,11.909027,,1.062090152920334e-32,7.196722876188183e-31,1.0,1.0
